offense,conference,penalty_type,total_penalties,total_yards,average_yards_per_penalty,AP_Rank,Coaches_Rank,CFP_Rank,Penalty_Category,penalty_enforced,penalty_declined_or_offset
Wake Forest,ACC,Roughing the Passer,2,30.0,15.0,,,,Personal Foul,1,0
Wake Forest,ACC,Delay of Game,1,5.0,5.0,,,,Procedural,1,0
Wake Forest,ACC,Illegal Motion,1,0.0,0.0,,,,Procedural,0,1
Washington,Big 10,False Start,15,70.0,4.67,,,,Procedural,1,0
Washington,Big 10,Holding,8,54.0,6.75,,,,Holding/Blocking,1,0
Washington,Big 10,Other / Unclassified,8,135.0,16.88,,,,Other,1,0
Washington,Big 10,Personal Foul,5,16.0,3.2,,,,Personal Foul,1,0
Washington,Big 10,Unsportsmanlike Conduct,4,23.0,5.75,,,,Personal Foul,1,0
Washington,Big 10,Offside,3,0.0,0.0,,,,Procedural,0,1
Washington,Big 10,Face Mask,2,18.0,9.0,,,,Other,1,0
Washington,Big 10,Illegal Formation,2,36.0,18.0,,,,Procedural,1,0
Washington,Big 10,Pass Interference,1,0.0,0.0,,,,Pass/Coverage,0,1
Washington,Big 10,Roughing the Passer,1,0.0,0.0,,,,Personal Foul,0,1
Washington,Big 10,Targeting,1,3.0,3.0,,,,Personal Foul,1,0
Washington State,Pac 12,False Start,17,74.0,4.35,,,,Procedural,1,0
Washington State,Pac 12,Holding,16,136.0,8.5,,,,Holding/Blocking,1,0
Washington State,Pac 12,Other / Unclassified,10,102.0,10.2,,,,Other,1,0
Washington State,Pac 12,Offside,9,78.0,8.67,,,,Procedural,1,0
Washington State,Pac 12,Pass Interference,5,74.0,14.8,,,,Pass/Coverage,1,0
Washington State,Pac 12,Delay of Game,4,20.0,5.0,,,,Procedural,1,0
Washington State,Pac 12,Face Mask,3,21.0,7.0,,,,Other,1,0
Washington State,Pac 12,Illegal Formation,3,28.0,9.33,,,,Procedural,1,0
Washington State,Pac 12,Personal Foul,1,15.0,15.0,,,,Personal Foul,1,0
Washington State,Pac 12,Roughing the Passer,1,15.0,15.0,,,,Personal Foul,1,0
Washington State,Pac 12,Unsportsmanlike Conduct,1,0.0,0.0,,,,Personal Foul,0,1
West Virginia,Big 12,False Start,16,80.0,5.0,,,,Procedural,1,0
West Virginia,Big 12,Holding,12,114.0,9.5,,,,Holding/Blocking,1,0
West Virginia,Big 12,Pass Interference,10,144.0,14.4,,,,Pass/Coverage,1,0
West Virginia,Big 12,Offside,9,121.0,13.44,,,,Procedural,1,0
West Virginia,Big 12,Other / Unclassified,7,33.0,4.71,,,,Other,1,0
West Virginia,Big 12,Face Mask,3,59.0,19.67,,,,Other,1,0
West Virginia,Big 12,Personal Foul,3,0.0,0.0,,,,Personal Foul,0,1
West Virginia,Big 12,Delay of Game,1,5.0,5.0,,,,Procedural,1,0
West Virginia,Big 12,Illegal Formation,1,28.0,28.0,,,,Procedural,1,0
Wisconsin,Big 10,Other / Unclassified,8,66.0,8.25,,,,Other,1,0
Wisconsin,Big 10,False Start,6,30.0,5.0,,,,Procedural,1,0
Wisconsin,Big 10,Holding,5,20.0,4.0,,,,Holding/Blocking,1,0
Wisconsin,Big 10,Personal Foul,5,33.0,6.6,,,,Personal Foul,1,0
Wisconsin,Big 10,Pass Interference,4,47.0,11.75,,,,Pass/Coverage,1,0
Wisconsin,Big 10,Delay of Game,3,10.0,3.33,,,,Procedural,1,0
Wisconsin,Big 10,Offside,3,5.0,1.67,,,,Procedural,1,0
Wisconsin,Big 10,Roughing the Passer,1,15.0,15.0,,,,Personal Foul,1,0
Wisconsin,Big 10,Unsportsmanlike Conduct,1,15.0,15.0,,,,Personal Foul,1,0
Wyoming,MWC,False Start,17,61.0,3.59,,,,Procedural,1,0
Wyoming,MWC,Holding,17,151.0,8.88,,,,Holding/Blocking,1,0
Wyoming,MWC,Pass Interference,11,136.0,12.36,,,,Pass/Coverage,1,0
Wyoming,MWC,Delay of Game,7,26.0,3.71,,,,Procedural,1,0
Wyoming,MWC,Other / Unclassified,7,25.0,3.57,,,,Other,1,0
Wyoming,MWC,Face Mask,5,39.0,7.8,,,,Other,1,0
Wyoming,MWC,Personal Foul,3,123.0,41.0,,,,Personal Foul,1,0
Wyoming,MWC,Offside,2,24.0,12.0,,,,Procedural,1,0
Wyoming,MWC,Unsportsmanlike Conduct,2,25.0,12.5,,,,Personal Foul,1,0
Wyoming,MWC,Roughing,1,0.0,0.0,,,,Personal Foul,0,1
Wyoming,MWC,Roughing the Passer,1,1.0,1.0,,,,Personal Foul,1,0
