offense,defense,penalty_type,total_penalties,total_yards,average_yards_per_penalty
Merrimack,Kent State,Holding,2,10.0,5.0
Merrimack,Kent State,Other / Unclassified,2,10.0,5.0
Merrimack,Kent State,Face Mask,1,15.0,15.0
Merrimack,Kent State,Illegal Formation,1,47.0,47.0
Merrimack,Kent State,Unsportsmanlike Conduct,1,15.0,15.0
Miami,Notre Dame,Holding,2,0.0,0.0
Miami,Notre Dame,Delay of Game,1,5.0,5.0
Miami,Notre Dame,Pass Interference,1,0.0,0.0
Miami (OH),Wisconsin,Holding,2,23.0,11.5
Miami (OH),Wisconsin,Pass Interference,2,30.0,15.0
Miami (OH),Wisconsin,Illegal Formation,1,0.0,0.0
Michigan,New Mexico,False Start,1,5.0,5.0
Michigan,New Mexico,Holding,1,12.0,12.0
Michigan,New Mexico,Illegal Formation,1,0.0,0.0
Michigan State,Western Michigan,False Start,3,10.0,3.33
Michigan State,Western Michigan,Holding,1,0.0,0.0
Michigan State,Western Michigan,Other / Unclassified,1,0.0,0.0
Michigan State,Western Michigan,Pass Interference,1,0.0,0.0
Middle Tennessee,Austin Peay,Other / Unclassified,2,27.0,13.5
Middle Tennessee,Austin Peay,False Start,1,5.0,5.0
Middle Tennessee,Austin Peay,Offside,1,1.0,1.0
Middle Tennessee,Austin Peay,Pass Interference,1,15.0,15.0
Middle Tennessee,Austin Peay,Roughing the Passer,1,15.0,15.0
Minnesota,Buffalo,Delay of Game,1,5.0,5.0
Minnesota,Buffalo,Pass Interference,1,15.0,15.0
Minnesota,Buffalo,Personal Foul,1,15.0,15.0
Mississippi State,Southern Miss,Holding,6,6.0,1.0
Mississippi State,Southern Miss,Illegal Formation,3,30.0,10.0
Mississippi State,Southern Miss,False Start,2,10.0,5.0
Mississippi State,Southern Miss,Personal Foul,2,8.0,4.0
Mississippi State,Southern Miss,Delay of Game,1,5.0,5.0
Mississippi State,Southern Miss,Offside,1,5.0,5.0
Mississippi State,Southern Miss,Other / Unclassified,1,5.0,5.0
Mississippi State,Southern Miss,Pass Interference,1,0.0,0.0
Mississippi Valley State,Southern,False Start,6,30.0,5.0
Mississippi Valley State,Southern,Personal Foul,2,15.0,7.5
Mississippi Valley State,Southern,Delay of Game,1,5.0,5.0
Mississippi Valley State,Southern,Other / Unclassified,1,0.0,0.0
Mississippi Valley State,Southern,Pass Interference,1,0.0,0.0
Missouri,Central Arkansas,False Start,2,10.0,5.0
Missouri,Central Arkansas,Holding,2,12.0,6.0
Missouri,Central Arkansas,Other / Unclassified,2,12.0,6.0
Missouri,Central Arkansas,Personal Foul,1,15.0,15.0
Missouri State,USC,Other / Unclassified,4,33.0,8.25
Missouri State,USC,False Start,1,5.0,5.0
Monmouth,Colgate,Other / Unclassified,1,0.0,0.0
Monmouth,Colgate,Pass Interference,1,0.0,0.0
Montana State,Oregon,False Start,3,15.0,5.0
Montana State,Oregon,Illegal Formation,2,53.0,26.5
Montana State,Oregon,Delay of Game,1,5.0,5.0
Montana State,Oregon,Offside,1,5.0,5.0
Montana State,Oregon,Pass Interference,1,14.0,14.0
Morehead State,Allen,False Start,2,10.0,5.0
Morehead State,Allen,Other / Unclassified,1,14.0,14.0
Morgan State,South Alabama,Holding,4,9.0,2.25
Morgan State,South Alabama,False Start,3,15.0,5.0
Morgan State,South Alabama,Other / Unclassified,3,5.0,1.67
Morgan State,South Alabama,Delay of Game,1,5.0,5.0
Morgan State,South Alabama,Pass Interference,1,11.0,11.0
Morgan State,South Alabama,Roughing the Passer,1,0.0,0.0
Murray State,East Tennessee State,Pass Interference,3,38.0,12.67
Murray State,East Tennessee State,Delay of Game,2,10.0,5.0
Murray State,East Tennessee State,False Start,2,10.0,5.0
Murray State,East Tennessee State,Holding,1,1.0,1.0
NC State,East Carolina,False Start,3,13.0,4.33
NC State,East Carolina,Holding,3,65.0,21.67
NC State,East Carolina,Pass Interference,1,11.0,11.0
NC State,East Carolina,Personal Foul,1,15.0,15.0
NC State,East Carolina,Roughing the Passer,1,15.0,15.0
Navy,VMI,Delay of Game,2,10.0,5.0
Navy,VMI,Holding,1,6.0,6.0
Navy,VMI,Offside,1,0.0,0.0
Navy,VMI,Other / Unclassified,1,15.0,15.0
Nebraska,Cincinnati,Delay of Game,1,0.0,0.0
Nebraska,Cincinnati,False Start,1,4.0,4.0
Nebraska,Cincinnati,Personal Foul,1,13.0,13.0
Nevada,Penn State,False Start,2,9.0,4.5
Nevada,Penn State,Pass Interference,2,15.0,7.5
Nevada,Penn State,Holding,1,0.0,0.0
Nevada,Penn State,Offside,1,5.0,5.0
New Hampshire,North Carolina Central,Holding,4,0.0,0.0
New Hampshire,North Carolina Central,False Start,3,0.0,0.0
New Hampshire,North Carolina Central,Other / Unclassified,2,55.0,27.5
New Hampshire,North Carolina Central,Delay of Game,1,0.0,0.0
New Hampshire,North Carolina Central,Pass Interference,1,0.0,0.0
New Hampshire,North Carolina Central,Roughing,1,0.0,0.0
New Hampshire,North Carolina Central,Unsportsmanlike Conduct,1,0.0,0.0
New Haven,Marist,Pass Interference,2,30.0,15.0
New Haven,Marist,Delay of Game,1,5.0,5.0
New Mexico,Michigan,Pass Interference,3,25.0,8.33
New Mexico,Michigan,Offside,2,10.0,5.0
New Mexico,Michigan,False Start,1,5.0,5.0
New Mexico,Michigan,Targeting,1,12.0,12.0
New Mexico State,Bryant,Holding,4,20.0,5.0
New Mexico State,Bryant,False Start,2,10.0,5.0
New Mexico State,Bryant,Offside,2,10.0,5.0
New Mexico State,Bryant,Other / Unclassified,2,20.0,10.0
New Mexico State,Bryant,Personal Foul,1,0.0,0.0
Nicholls,Troy,False Start,4,20.0,5.0
Nicholls,Incarnate Word,Other / Unclassified,3,0.0,0.0
Nicholls,Incarnate Word,False Start,2,10.0,5.0
Nicholls,Troy,Face Mask,2,30.0,15.0
Nicholls,Troy,Pass Interference,2,30.0,15.0
Nicholls,Incarnate Word,Unsportsmanlike Conduct,1,0.0,0.0
Nicholls,Troy,Holding,1,0.0,0.0
Nicholls,Troy,Offside,1,5.0,5.0
Norfolk State,Towson,Holding,3,0.0,0.0
Norfolk State,Towson,Pass Interference,2,0.0,0.0
Norfolk State,Towson,Delay of Game,1,5.0,5.0
Norfolk State,Towson,False Start,1,0.0,0.0
Norfolk State,Towson,Other / Unclassified,1,0.0,0.0
Norfolk State,Towson,Personal Foul,1,0.0,0.0
North Alabama,Western Kentucky,Pass Interference,4,42.0,10.5
North Alabama,Western Kentucky,Face Mask,1,15.0,15.0
North Alabama,Western Kentucky,Holding,1,4.0,4.0
North Alabama,Western Kentucky,Illegal Formation,1,0.0,0.0
North Alabama,Western Kentucky,Personal Foul,1,15.0,15.0
North Alabama,Western Kentucky,Roughing the Passer,1,0.0,0.0
North Carolina,TCU,Delay of Game,1,5.0,5.0
North Carolina,TCU,False Start,1,0.0,0.0
North Carolina A&T,Tennessee State,False Start,5,0.0,0.0
North Carolina A&T,Tennessee State,Other / Unclassified,2,0.0,0.0
North Carolina A&T,Tennessee State,Delay of Game,1,0.0,0.0
North Carolina A&T,Tennessee State,Pass Interference,1,0.0,0.0
North Carolina A&T,Tennessee State,Personal Foul,1,0.0,0.0
North Carolina Central,Southern,False Start,2,0.0,0.0
North Carolina Central,Southern,Other / Unclassified,2,8.0,4.0
North Carolina Central,New Hampshire,Other / Unclassified,1,0.0,0.0
North Carolina Central,New Hampshire,Pass Interference,1,0.0,0.0
North Carolina Central,New Hampshire,Roughing,1,0.0,0.0
North Carolina Central,New Hampshire,Unsportsmanlike Conduct,1,0.0,0.0
North Carolina Central,Southern,Holding,1,1.0,1.0
North Carolina Central,Southern,Offside,1,2.0,2.0
North Dakota,Kansas State,False Start,3,15.0,5.0
North Dakota,Kansas State,Face Mask,1,3.0,3.0
North Dakota,Kansas State,Other / Unclassified,1,0.0,0.0
North Dakota,Kansas State,Pass Interference,1,15.0,15.0
North Dakota State,The Citadel,False Start,4,20.0,5.0
North Dakota State,The Citadel,Delay of Game,1,5.0,5.0
North Texas,Lamar,Other / Unclassified,2,5.0,2.5
North Texas,Lamar,Face Mask,1,15.0,15.0
North Texas,Lamar,False Start,1,5.0,5.0
North Texas,Lamar,Holding,1,10.0,10.0
North Texas,Lamar,Offside,1,0.0,0.0
North Texas,Lamar,Pass Interference,1,15.0,15.0
North Texas,Lamar,Personal Foul,1,0.0,0.0
Northern Arizona,Arizona State,Other / Unclassified,2,14.0,7.0
Northern Arizona,Arizona State,Delay of Game,1,5.0,5.0
Northern Arizona,Arizona State,False Start,1,5.0,5.0
Northern Arizona,Arizona State,Holding,1,10.0,10.0
Northern Arizona,Arizona State,Personal Foul,1,8.0,8.0
Northern Arizona,Arizona State,Roughing the Passer,1,0.0,0.0
Northern Colorado,Chadron St,False Start,1,5.0,5.0
Northern Colorado,Chadron St,Holding,1,2.0,2.0
Northern Colorado,Chadron St,Pass Interference,1,15.0,15.0
Northern Colorado,Chadron St,Personal Foul,1,15.0,15.0
Northern Colorado,Chadron St,Roughing the Passer,1,15.0,15.0
Northern Illinois,Holy Cross,False Start,3,15.0,5.0
Northern Illinois,Holy Cross,Delay of Game,2,10.0,5.0
Northern Illinois,Holy Cross,Other / Unclassified,1,5.0,5.0
Northern Iowa,Butler,Other / Unclassified,1,9.0,9.0
Northern Iowa,Butler,Pass Interference,1,15.0,15.0
Northwestern,Tulane,False Start,2,5.0,2.5
Northwestern,Tulane,Holding,2,27.0,13.5
Northwestern,Tulane,Other / Unclassified,1,0.0,0.0
Northwestern,Tulane,Pass Interference,1,15.0,15.0
Northwestern State,Alcorn State,Delay of Game,1,5.0,5.0
Northwestern State,Alcorn State,False Start,1,5.0,5.0
Northwestern State,Alcorn State,Other / Unclassified,1,7.0,7.0
Northwestern State,Alcorn State,Unsportsmanlike Conduct,1,2.0,2.0
Notre Dame,Miami,Other / Unclassified,3,18.0,6.0
Notre Dame,Miami,False Start,1,5.0,5.0
Notre Dame,Miami,Holding,1,10.0,10.0
Notre Dame,Miami,Pass Interference,1,11.0,11.0
Notre Dame,Miami,Personal Foul,1,0.0,0.0
Ohio,Rutgers,False Start,5,5.0,1.0
Ohio,Rutgers,Face Mask,2,30.0,15.0
Ohio,Rutgers,Delay of Game,1,5.0,5.0
Ohio State,Texas,Holding,3,13.0,4.33
Ohio State,Texas,Face Mask,1,15.0,15.0
Ohio State,Texas,Illegal Formation,1,5.0,5.0
Oklahoma,Illinois State,False Start,2,10.0,5.0
Oklahoma,Illinois State,Holding,2,10.0,5.0
Oklahoma,Illinois State,Illegal Formation,1,2.0,2.0
Oklahoma,Illinois State,Offside,1,0.0,0.0
Oklahoma,Illinois State,Pass Interference,1,0.0,0.0
Oklahoma State,UT Martin,Holding,2,0.0,0.0
Oklahoma State,UT Martin,False Start,1,0.0,0.0
Oklahoma State,UT Martin,Other / Unclassified,1,0.0,0.0
Oklahoma State,UT Martin,Pass Interference,1,0.0,0.0
Old Dominion,Indiana,False Start,2,10.0,5.0
Old Dominion,Indiana,Other / Unclassified,2,22.0,11.0
Old Dominion,Indiana,Illegal Formation,1,5.0,5.0
Old Dominion,Indiana,Personal Foul,1,15.0,15.0
Ole Miss,Georgia State,False Start,2,8.0,4.0
Ole Miss,Georgia State,Holding,2,20.0,10.0
Ole Miss,Georgia State,Delay of Game,1,5.0,5.0
Ole Miss,Georgia State,Illegal Formation,1,55.0,55.0
Ole Miss,Georgia State,Offside,1,2.0,2.0
Ole Miss,Georgia State,Other / Unclassified,1,15.0,15.0
Oregon,Montana State,Holding,1,5.0,5.0
Oregon,Montana State,Pass Interference,1,14.0,14.0
Oregon,Montana State,Roughing the Passer,1,0.0,0.0
Oregon State,California,Holding,2,0.0,0.0
Oregon State,California,Delay of Game,1,5.0,5.0
Oregon State,California,Pass Interference,1,0.0,0.0
Oregon State,California,Roughing,1,0.0,0.0
Penn State,Nevada,Delay of Game,1,5.0,5.0
Penn State,Nevada,Holding,1,1.0,1.0
Penn State,Nevada,Offside,1,5.0,5.0
Penn State,Nevada,Other / Unclassified,1,0.0,0.0
Pittsburgh,Duquesne,False Start,1,5.0,5.0
Pittsburgh,Duquesne,Pass Interference,1,13.0,13.0
Pittsburgh,Duquesne,Unsportsmanlike Conduct,1,15.0,15.0
Portland State,BYU,Delay of Game,2,10.0,5.0
Portland State,BYU,False Start,2,10.0,5.0
Portland State,Tarleton State,False Start,2,10.0,5.0
Portland State,BYU,Other / Unclassified,1,0.0,0.0
Portland State,BYU,Targeting,1,15.0,15.0
Portland State,Tarleton State,Other / Unclassified,1,5.0,5.0
Portland State,Tarleton State,Pass Interference,1,15.0,15.0
Portland State,Tarleton State,Unsportsmanlike Conduct,1,12.0,12.0
Prairie View A&M,Texas Southern,Holding,6,2.0,0.33
Prairie View A&M,Texas Southern,Other / Unclassified,3,5.0,1.67
Prairie View A&M,Texas Southern,Delay of Game,2,0.0,0.0
Prairie View A&M,Texas Southern,Pass Interference,2,8.0,4.0
Prairie View A&M,Texas Southern,False Start,1,0.0,0.0
Presbyterian,Mercer,Holding,4,4.0,1.0
Presbyterian,Mercer,Delay of Game,1,5.0,5.0
Presbyterian,Mercer,Offside,1,5.0,5.0
Presbyterian,Mercer,Pass Interference,1,6.0,6.0
Presbyterian,Mercer,Roughing the Passer,1,0.0,0.0
Purdue,Ball State,False Start,1,5.0,5.0
Purdue,Ball State,Holding,1,10.0,10.0
Purdue,Ball State,Other / Unclassified,1,0.0,0.0
Rhode Island,Campbell,Pass Interference,5,48.0,9.6
Rhode Island,Campbell,Holding,2,16.0,8.0
Rhode Island,Campbell,Delay of Game,1,5.0,5.0
Rhode Island,Campbell,False Start,1,5.0,5.0
Rhode Island,Campbell,Offside,1,0.0,0.0
Rhode Island,Campbell,Other / Unclassified,1,10.0,10.0
Rice,Louisiana,Other / Unclassified,2,15.0,7.5
Rice,Louisiana,Face Mask,1,6.0,6.0
Rice,Louisiana,Illegal Formation,1,0.0,0.0
Richmond,Lehigh,False Start,1,5.0,5.0
Richmond,Lehigh,Holding,1,10.0,10.0
Richmond,Lehigh,Unsportsmanlike Conduct,1,15.0,15.0
Robert Morris,West Virginia,False Start,2,10.0,5.0
Robert Morris,West Virginia,Holding,2,10.0,5.0
Rutgers,Ohio,False Start,2,10.0,5.0
Rutgers,Ohio,Delay of Game,1,5.0,5.0
Rutgers,Ohio,Holding,1,0.0,0.0
Rutgers,Ohio,Other / Unclassified,1,0.0,0.0
SE Louisiana,Louisiana Tech,False Start,3,10.0,3.33
SE Louisiana,Louisiana Tech,Holding,2,15.0,7.5
SE Louisiana,Louisiana Tech,Illegal Formation,1,5.0,5.0
SE Louisiana,Louisiana Tech,Offside,1,0.0,0.0
SE Louisiana,Louisiana Tech,Other / Unclassified,1,0.0,0.0
SE Louisiana,Louisiana Tech,Roughing the Passer,1,15.0,15.0
SMU,East Texas A&M,Holding,3,21.0,7.0
SMU,East Texas A&M,Unsportsmanlike Conduct,2,30.0,15.0
SMU,East Texas A&M,Offside,1,5.0,5.0
SMU,East Texas A&M,Other / Unclassified,1,4.0,4.0
SMU,East Texas A&M,Personal Foul,1,15.0,15.0
Sacramento State,South Dakota State,False Start,2,10.0,5.0
Sacramento State,South Dakota State,Delay of Game,1,5.0,5.0
Sacramento State,South Dakota State,Holding,1,7.0,7.0
Sacramento State,South Dakota State,Personal Foul,1,15.0,15.0
Sacred Heart,Stonehill,Offside,2,10.0,5.0
Sacred Heart,Stonehill,Holding,1,0.0,0.0
Sacred Heart,Stonehill,Personal Foul,1,15.0,15.0
Sacred Heart,Stonehill,Roughing the Passer,1,15.0,15.0
Sam Houston,UNLV,Pass Interference,4,0.0,0.0
Sam Houston,UNLV,Other / Unclassified,3,0.0,0.0
Sam Houston,Western Kentucky,False Start,2,10.0,5.0
Sam Houston,Western Kentucky,Other / Unclassified,2,5.0,2.5
Sam Houston,UNLV,Delay of Game,1,5.0,5.0
Sam Houston,UNLV,Holding,1,0.0,0.0
Sam Houston,Western Kentucky,Delay of Game,1,5.0,5.0
Sam Houston,Western Kentucky,Holding,1,12.0,12.0
Sam Houston,Western Kentucky,Pass Interference,1,15.0,15.0
Samford,West Georgia,False Start,2,10.0,5.0
Samford,West Georgia,Holding,2,17.0,8.5
Samford,West Georgia,Delay of Game,1,5.0,5.0
Samford,West Georgia,Other / Unclassified,1,15.0,15.0
San Diego,Cal Poly,Delay of Game,1,5.0,5.0
San Diego,Cal Poly,Illegal Formation,1,1.0,1.0
San Diego,Cal Poly,Offside,1,5.0,5.0
San Diego State,Stony Brook,False Start,2,10.0,5.0
San Diego State,Stony Brook,Holding,2,15.0,7.5
San Diego State,Stony Brook,Other / Unclassified,2,18.0,9.0
San Diego State,Stony Brook,Pass Interference,1,15.0,15.0
San Diego State,Stony Brook,Unsportsmanlike Conduct,1,15.0,15.0
San José State,Central Michigan,Other / Unclassified,2,20.0,10.0
San José State,Central Michigan,Holding,1,5.0,5.0
San José State,Central Michigan,Illegal Formation,1,48.0,48.0
San José State,Central Michigan,Pass Interference,1,3.0,3.0
South Alabama,Morgan State,Delay of Game,2,10.0,5.0
South Alabama,Morgan State,False Start,2,10.0,5.0
South Alabama,Morgan State,Holding,1,5.0,5.0
South Alabama,Morgan State,Illegal Formation,1,53.0,53.0
South Alabama,Morgan State,Offside,1,0.0,0.0
South Alabama,Morgan State,Targeting,1,6.0,6.0
South Carolina,Virginia Tech,False Start,2,10.0,5.0
South Carolina,Virginia Tech,Delay of Game,1,5.0,5.0
South Carolina,Virginia Tech,Holding,1,0.0,0.0
South Carolina State,Wofford,False Start,2,0.0,0.0
South Carolina State,Wofford,Other / Unclassified,2,0.0,0.0
South Carolina State,Wofford,Holding,1,0.0,0.0
South Carolina State,Wofford,Illegal Formation,1,5.0,5.0
South Carolina State,Wofford,Personal Foul,1,15.0,15.0
South Dakota,Iowa State,Holding,2,20.0,10.0
South Dakota,Iowa State,False Start,1,5.0,5.0
South Dakota,Iowa State,Other / Unclassified,1,9.0,9.0
South Dakota State,Sacramento State,Offside,5,8.0,1.6
South Dakota State,Sacramento State,Pass Interference,2,30.0,15.0
South Dakota State,Sacramento State,Delay of Game,1,5.0,5.0
South Dakota State,Sacramento State,False Start,1,5.0,5.0
South Dakota State,Sacramento State,Holding,1,7.0,7.0
South Florida,Boise State,False Start,2,10.0,5.0
South Florida,Boise State,Holding,2,52.0,26.0
South Florida,Boise State,Other / Unclassified,1,15.0,15.0
South Florida,Boise State,Pass Interference,1,6.0,6.0
South Florida,Boise State,Unsportsmanlike Conduct,1,15.0,15.0
Southeast Missouri State,Arkansas State,False Start,1,0.0,0.0
Southeast Missouri State,Arkansas State,Holding,1,0.0,0.0
Southeast Missouri State,Arkansas State,Pass Interference,1,0.0,0.0
Southeast Missouri State,Arkansas State,Personal Foul,1,0.0,0.0
Southern,Mississippi Valley State,False Start,3,0.0,0.0
Southern,North Carolina Central,Pass Interference,3,45.0,15.0
Southern,Mississippi Valley State,Holding,2,0.0,0.0
Southern,North Carolina Central,Delay of Game,1,5.0,5.0
Southern,North Carolina Central,False Start,1,0.0,0.0
Southern,North Carolina Central,Holding,1,17.0,17.0
Southern Illinois,Thomas More College,False Start,1,5.0,5.0
Southern Illinois,Thomas More College,Offside,1,5.0,5.0
Southern Illinois,Thomas More College,Unsportsmanlike Conduct,1,15.0,15.0
Southern Miss,Mississippi State,Holding,2,10.0,5.0
Southern Miss,Mississippi State,Pass Interference,2,30.0,15.0
Southern Miss,Mississippi State,Delay of Game,1,5.0,5.0
Southern Miss,Mississippi State,False Start,1,5.0,5.0
Southern Miss,Mississippi State,Personal Foul,1,15.0,15.0
Southern Utah,Idaho State,Other / Unclassified,2,15.0,7.5
Southern Utah,Idaho State,Holding,1,10.0,10.0
Southern Utah,Idaho State,Offside,1,28.0,28.0
Southern Utah,Idaho State,Personal Foul,1,0.0,0.0
St. Francis (PA),UL Monroe,False Start,1,5.0,5.0
St. Francis (PA),UL Monroe,Holding,1,28.0,28.0
St. Francis (PA),UL Monroe,Other / Unclassified,1,5.0,5.0
St. Thomas (MN),Lindenwood,Personal Foul,2,3.0,1.5
St. Thomas (MN),Lindenwood,Delay of Game,1,0.0,0.0
St. Thomas (MN),Lindenwood,Face Mask,1,15.0,15.0
St. Thomas (MN),Lindenwood,False Start,1,0.0,0.0
St. Thomas (MN),Lindenwood,Other / Unclassified,1,0.0,0.0
St. Thomas (MN),Lindenwood,Pass Interference,1,0.0,0.0
St. Thomas (MN),Lindenwood,Unsportsmanlike Conduct,1,0.0,0.0
Stanford,Hawai'i,Delay of Game,1,0.0,0.0
Stanford,Hawai'i,Face Mask,1,15.0,15.0
Stanford,Hawai'i,Holding,1,0.0,0.0
Stanford,Hawai'i,Other / Unclassified,1,13.0,13.0
Stanford,Hawai'i,Pass Interference,1,0.0,0.0
Stanford,Hawai'i,Personal Foul,1,0.0,0.0
Stanford,Hawai'i,Roughing,1,0.0,0.0
Stephen F. Austin,Houston,Holding,2,1.0,0.5
Stephen F. Austin,Houston,Personal Foul,2,0.0,0.0
Stephen F. Austin,Houston,Delay of Game,1,0.0,0.0
Stephen F. Austin,Houston,Illegal Formation,1,0.0,0.0
Stephen F. Austin,Houston,Other / Unclassified,1,0.0,0.0
Stephen F. Austin,Houston,Pass Interference,1,0.0,0.0
Stetson,Webber International,False Start,3,0.0,0.0
Stetson,Webber International,Holding,1,0.0,0.0
Stetson,Webber International,Pass Interference,1,0.0,0.0
Stonehill,Sacred Heart,False Start,3,15.0,5.0
Stonehill,Sacred Heart,Other / Unclassified,2,48.0,24.0
Stonehill,Sacred Heart,Holding,1,10.0,10.0
Stony Brook,San Diego State,False Start,2,10.0,5.0
Stony Brook,San Diego State,Other / Unclassified,2,11.0,5.5
Stony Brook,San Diego State,Holding,1,10.0,10.0
Stony Brook,San Diego State,Unsportsmanlike Conduct,1,15.0,15.0
Sul Ross State,UT Rio Grande Valley,False Start,3,0.0,0.0
Sul Ross State,UT Rio Grande Valley,Delay of Game,1,0.0,0.0
Sul Ross State,UT Rio Grande Valley,Illegal Formation,1,0.0,0.0
Sul Ross State,UT Rio Grande Valley,Other / Unclassified,1,14.0,14.0
Sul Ross State,UT Rio Grande Valley,Personal Foul,1,0.0,0.0
Syracuse,Tennessee,Pass Interference,2,30.0,15.0
Syracuse,Tennessee,Delay of Game,1,5.0,5.0
Syracuse,Tennessee,Offside,1,5.0,5.0
Syracuse,Tennessee,Other / Unclassified,1,5.0,5.0
TCU,North Carolina,Pass Interference,3,41.0,13.67
TCU,North Carolina,False Start,1,0.0,0.0
TCU,North Carolina,Holding,1,21.0,21.0
TCU,North Carolina,Unsportsmanlike Conduct,1,0.0,0.0
Tarleton State,Army,Holding,5,57.0,11.4
Tarleton State,Army,False Start,3,15.0,5.0
Tarleton State,Army,Offside,1,4.0,4.0
Tarleton State,Army,Other / Unclassified,1,0.0,0.0
Tarleton State,Portland State,False Start,1,5.0,5.0
Tarleton State,Portland State,Holding,1,10.0,10.0
Tarleton State,Portland State,Offside,1,50.0,50.0
Tarleton State,Portland State,Other / Unclassified,1,5.0,5.0
Tarleton State,Portland State,Personal Foul,1,0.0,0.0
Temple,Massachusetts,Other / Unclassified,3,17.0,5.67
Temple,Massachusetts,Holding,1,12.0,12.0
Temple,Massachusetts,Offside,1,1.0,1.0
Tennessee,Syracuse,False Start,2,10.0,5.0
Tennessee,Syracuse,Other / Unclassified,2,20.0,10.0
Tennessee,Syracuse,Offside,1,5.0,5.0
Tennessee,Syracuse,Pass Interference,1,15.0,15.0
Tennessee State,North Carolina A&T,False Start,2,55.0,27.5
Tennessee State,North Carolina A&T,Delay of Game,1,0.0,0.0
Tennessee State,North Carolina A&T,Face Mask,1,15.0,15.0
Tennessee State,North Carolina A&T,Other / Unclassified,1,0.0,0.0
Tennessee Tech,Cumberland (TN),Other / Unclassified,2,10.0,5.0
Tennessee Tech,Cumberland (TN),Holding,1,24.0,24.0
Tennessee Tech,Cumberland (TN),Pass Interference,1,15.0,15.0
Texas,Ohio State,False Start,3,15.0,5.0
Texas,Ohio State,Holding,1,10.0,10.0
Texas A&M,UTSA,Holding,3,10.0,3.33
Texas A&M,UTSA,Delay of Game,1,5.0,5.0
Texas A&M,UTSA,False Start,1,5.0,5.0
Texas A&M,UTSA,Other / Unclassified,1,7.0,7.0
Texas A&M,UTSA,Personal Foul,1,15.0,15.0
Texas Southern,Prairie View A&M,Holding,4,10.0,2.5
Texas Southern,Prairie View A&M,Pass Interference,4,15.0,3.75
Texas Southern,Prairie View A&M,False Start,2,10.0,5.0
Texas Southern,Prairie View A&M,Face Mask,1,15.0,15.0
Texas Southern,Prairie View A&M,Unsportsmanlike Conduct,1,15.0,15.0
Texas State,Eastern Michigan,Holding,2,8.0,4.0
Texas State,Eastern Michigan,Face Mask,1,15.0,15.0
Texas State,Eastern Michigan,False Start,1,5.0,5.0
Texas State,Eastern Michigan,Other / Unclassified,1,7.0,7.0
Texas Tech,Arkansas-Pine Bluff,False Start,1,5.0,5.0
Texas Tech,Arkansas-Pine Bluff,Holding,1,30.0,30.0
Texas Tech,Arkansas-Pine Bluff,Pass Interference,1,15.0,15.0
Texas Tech,Arkansas-Pine Bluff,Roughing the Passer,1,12.0,12.0
Thomas More College,Southern Illinois,Delay of Game,2,10.0,5.0
Thomas More College,Southern Illinois,False Start,2,10.0,5.0
Thomas More College,Southern Illinois,Offside,1,5.0,5.0
Thomas More College,Southern Illinois,Other / Unclassified,1,0.0,0.0
Thomas More College,Southern Illinois,Roughing the Passer,1,0.0,0.0
Toledo,Kentucky,False Start,2,10.0,5.0
Toledo,Kentucky,Pass Interference,1,15.0,15.0
Toledo,Kentucky,Personal Foul,1,18.0,18.0
Towson,Norfolk State,Holding,3,0.0,0.0
Towson,Norfolk State,Delay of Game,1,0.0,0.0
Towson,Norfolk State,False Start,1,0.0,0.0
Towson,Norfolk State,Other / Unclassified,1,0.0,0.0
Towson,Norfolk State,Unsportsmanlike Conduct,1,1.0,1.0
Troy,Nicholls,False Start,1,5.0,5.0
Troy,Nicholls,Personal Foul,1,6.0,6.0
Troy,Nicholls,Roughing the Passer,1,0.0,0.0
Tulane,Northwestern,Holding,2,0.0,0.0
Tulane,Northwestern,Offside,1,0.0,0.0
Tulane,Northwestern,Other / Unclassified,1,0.0,0.0
Tulane,Northwestern,Pass Interference,1,14.0,14.0
Tulsa,Abilene Christian,False Start,3,15.0,5.0
Tulsa,Abilene Christian,Other / Unclassified,3,30.0,10.0
Tulsa,Abilene Christian,Holding,1,7.0,7.0
Tulsa,Abilene Christian,Offside,1,5.0,5.0
Tulsa,Abilene Christian,Pass Interference,1,15.0,15.0
UAB,Alabama State,Offside,2,5.0,2.5
UAB,Alabama State,False Start,1,5.0,5.0
UAB,Alabama State,Other / Unclassified,1,0.0,0.0
UAB,Alabama State,Pass Interference,1,14.0,14.0
UAlbany,Iowa,Illegal Formation,2,7.0,3.5
UAlbany,Iowa,False Start,1,5.0,5.0
UAlbany,Iowa,Pass Interference,1,15.0,15.0
UC Davis,Utah Tech,Holding,2,50.0,25.0
UC Davis,Utah Tech,Face Mask,1,0.0,0.0
UC Davis,Utah Tech,Other / Unclassified,1,0.0,0.0
UC Davis,Utah Tech,Pass Interference,1,0.0,0.0
UC Davis,Utah Tech,Unsportsmanlike Conduct,1,0.0,0.0
UCF,Jacksonville State,False Start,3,10.0,3.33
UCF,Jacksonville State,Holding,2,29.0,14.5
UCF,Jacksonville State,Targeting,2,14.0,7.0
UCF,Jacksonville State,Other / Unclassified,1,1.0,1.0
UCLA,Utah,False Start,1,0.0,0.0
UCLA,Utah,Holding,1,0.0,0.0
UConn,Central Connecticut,False Start,2,10.0,5.0
UConn,Central Connecticut,Holding,1,0.0,0.0
UConn,Central Connecticut,Other / Unclassified,1,0.0,0.0
